team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Bosnia-Herzegovina,Kerim Alajbegović,Offence,18,2,2,1,0,2025,2026,baja
Panama,César Blackman,Defence,28,2,2,0,0,2024,2025,baja
Cape Verde Islands,Kevin Pina,Midfield,29,2,2,1,0,2024,2026,baja
Cape Verde Islands,João Paulo,Midfield,28,2,0,0,0,1991,1991,baja
Cape Verde Islands,Willy Semedo,Offence,32,2,2,0,0,2025,2025,baja
Congo DR,Fiston Mayele,Offence,32,2,2,0,0,2024,2025,baja
Ivory Coast,Bazoumana Touré,Offence,20,2,2,0,0,2025,2026,baja
Qatar,Lucas Mendes,Defence,35,2,2,0,0,2024,2025,baja
Iraq,Youssef Amyn,Midfield,22,2,1,0,0,2023,2024,baja
Iraq,Zidane Iqbal,Midfield,23,2,2,0,0,2024,2025,baja
Netherlands,Frenkie de Jong,Midfield,29,2,0,0,0,2019,2022,baja
Netherlands,Crysencio Summerville,Midfield,24,2,2,2,0,2026,2026,baja
Norway,Jørgen Strand Larsen,Offence,26,2,1,0,0,2023,2025,baja
Scotland,Grant Hanley,Defence,34,2,0,0,0,2013,2021,alta
