league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Cabo Verde,Garry Rodrigues,Cabo Verde,MF,35-212,1. Apollon Limassol,1990,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Gilson Benchimol,Cabo Verde,FW,24-180,1. Akron Tolyatti,2001,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Hélio Varela,Cabo Verde,FW,24-055,1. Maccabi Tel Aviv,2002,1,0,33,0.4,1,0,1,1,0,0,0,0,2.73,0.0,2.73,2.73,2.73
INT-World Cup,2026,Cabo Verde,Jamiro Monteiro,Cabo Verde,MF,32-216,1. Zwolle,1993,2,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Jovane Cabral,Cabo Verde,FW,28-013,1. Estrela,1998,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,João Paulo Fernandes,Cabo Verde,"DF,MF",28-032,1. FCSB,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Kevin Pina,Cabo Verde,MF,29-151,1. Krasnodar,1997,2,2,160,1.8,1,0,1,1,0,0,0,0,0.56,0.0,0.56,0.56,0.56
INT-World Cup,2026,Cabo Verde,Laros Duarte,Cabo Verde,MF,29-119,1. Puskás Akad.,1997,2,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Nuno da Costa,Cabo Verde,"FW,MF",35-137,1. Başakşehir,1991,2,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Pico,Cabo Verde,DF,34-010,1. Shamrock,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Ryan Mendes,Cabo Verde,"MF,FW",36-170,2. 76 Iğdır Belediyespor,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Sidny Lopes Cabral,Cabo Verde,DF,23-282,1. Benfica,2002,2,2,165,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Steven Moreira,Cabo Verde,DF,31-318,1. Columbus Crew,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Telmo Arcanjo,Cabo Verde,MF,25-006,1. Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Vozinha,Cabo Verde,GK,40-024,2. Chaves,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Willy Semedo,Cabo Verde,"FW,MF",32-061,1. AC Omonia,1994,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Yannick,Cabo Verde,MF,30-180,2. Farense,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Ali Ahmed,Canada,MF,25-260,2. Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Alistair Johnston,Canada,DF,27-262,1. Celtic,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Cyle Larin,Canada,FW,31-071,1. Mallorca,1995,3,2,162,1.8,2,0,2,2,0,0,1,0,1.11,0.0,1.11,1.11,1.11
INT-World Cup,2026,Canada,Derek Cornelius,Canada,DF,28-214,1. Marseille,1997,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Ismaël Koné,Canada,MF,24-011,1. Sassuolo,2002,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Jacob Shaffelburg,Canada,MF,26-213,1. LAFC,1999,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Jonathan David,Canada,FW,26-164,1. Juventus,2000,3,3,240,2.7,3,0,3,3,0,0,0,0,1.13,0.0,1.13,1.13,1.13
INT-World Cup,2026,Canada,Jonathan Osorio,Canada,MF,34-015,1. Toronto FC,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Liam Millar,Canada,MF,26-273,2. Hull City,1999,2,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Luc De Fougerolles,Canada,DF,20-258,1. Fulham,2005,3,3,250,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Mathieu Choinière,Canada,MF,27-140,1. LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Maxime Crépeau,Canada,GK,32-047,1. Orlando City,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Moïse Bombito,Canada,DF,26-089,1. Nice,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Nathan Saliba,Canada,MF,22-140,1. Anderlecht,2004,2,1,124,1.4,1,2,3,1,0,0,0,0,0.73,1.45,2.18,0.73,2.18
INT-World Cup,2026,Canada,Niko Sigur,Canada,"DF,MF",22-291,1. Hajduk Split,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Promise David,Canada,FW,24-359,1. Union SG,2001,2,0,46,0.5,1,1,2,1,0,0,0,0,1.96,1.96,3.91,1.96,3.91
INT-World Cup,2026,Canada,Richie Laryea,Canada,DF,31-171,1. Toronto FC,1995,3,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Stephen Eustáquio,Canada,MF,29-188,1. Porto,1996,3,2,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Tajon Buchanan,Canada,MF,27-139,1. Villarreal,1999,3,3,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Tani Oluwaseyi,Canada,FW,26-043,1. Villarreal,2000,3,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Andrés Gómez,Colombia,MF,23-288,1. Vasco da Gama,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Camilo Vargas,Colombia,GK,37-110,1. Atlas,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Cucho,Colombia,"FW,MF",27-068,1. Real Betis,1999,1,0,11,0.1,0,1,1,0,0,0,0,0,0.0,8.18,8.18,0.0,8.18
INT-World Cup,2026,Colombia,Daniel Muñoz,Colombia,DF,30-032,1. Crystal Palace,1996,2,2,180,2.0,2,0,2,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0
INT-World Cup,2026,Colombia,Davinson Sánchez,Colombia,DF,30-015,1. Galatasaray,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Gustavo Puerta,Colombia,MF,22-339,2. Racing Sant,2003,2,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Colombia,James Rodríguez,Colombia,FW,34-350,1. Minnesota Utd,1991,2,2,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jaminton Campaz,Colombia,"FW,MF",26-034,1. Rosario Central,2000,1,0,19,0.2,1,0,1,1,0,0,0,0,4.74,0.0,4.74,4.74,4.74
INT-World Cup,2026,Colombia,Jefferson Lerma,Colombia,MF,31-245,1. Crystal Palace,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jhon Arias,Colombia,MF,28-279,1. Palmeiras,1997,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jhon Córdoba,Colombia,FW,33-047,1. Krasnodar,1993,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jhon Lucumí,Colombia,DF,28-001,1. Bologna,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Johan Mojica,Colombia,DF,33-310,1. Mallorca,1992,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Juan Quintero,Colombia,"FW,MF",33-160,1. River Plate,1993,1,0,33,0.4,0,1,1,0,0,0,0,0,0.0,2.73,2.73,0.0,2.73
INT-World Cup,2026,Colombia,Kevin Castaño,Colombia,MF,25-271,1. River Plate,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Luis Díaz,Colombia,FW,29-165,1. Bayern Munich,1997,2,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01
INT-World Cup,2026,Colombia,Luis Suárez,Colombia,FW,28-207,1. Sporting CP,1997,2,2,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Richard Ríos,Colombia,MF,26-025,1. Benfica,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Aaron Wan-Bissaka,Congo DR,DF,28-213,1. West Ham,1997,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Arthur Masuaku,Congo DR,DF,32-232,1. Lens,1993,2,2,145,1.6,0,1,1,0,0,0,0,0,0.0,0.62,0.62,0.0,0.62
INT-World Cup,2026,Congo DR,Axel Tuanzebe,Congo DR,DF,28-225,1. Burnley,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Chancel Mbemba,Congo DR,DF,31-323,1. Lille,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Charles Pickel,Congo DR,"DF,MF",29-043,1. Espanyol,1997,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Cédric Bakambu,Congo DR,FW,35-077,1. Real Betis,1991,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Edo Kayembe,Congo DR,MF,28-024,2. Watford,1998,2,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Gédéon Kalulu,Congo DR,DF,28-302,1. Aris Limassol,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Joris Kayembe,Congo DR,"DF,FW",31-323,1. Genk,1994,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Lionel Mpasi,Congo DR,GK,31-330,1. Le Havre,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Nathanaël Mbuku,Congo DR,MF,24-103,2. Montpellier,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Ngal'Ayel Mukau,Congo DR,MF,21-236,1. Lille,2004,2,2,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Noah Sadiki,Congo DR,MF,21-192,1. Sunderland,2004,2,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Samuel Moutoussamy,Congo DR,MF,29-319,1. Atromitos,1996,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Simon Banza,Congo DR,"FW,MF",29-318,1. Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Steve Kapuadi,Congo DR,DF,28-058,1. Widzew Łódź,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Yoane Wissa,Congo DR,FW,29-297,1. Newcastle,1996,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Croatia,Andrej Kramarić,Croatia,"FW,MF",35-008,1. Hoffenheim,1991,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Ante Budimir,Croatia,FW,34-340,1. Osasuna,1991,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0
INT-World Cup,2026,Croatia,Dominik Livaković,Croatia,GK,31-169,1. Dinamo Zagreb,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Igor Matanović,Croatia,FW,23-088,1. Freiburg,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Ivan Perišić,Croatia,MF,37-145,1. PSV,1989,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Croatia,Josip Stanišić,Croatia,"MF,DF",26-086,1. Bayern Munich,2000,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Croatia,Josip Šutalo,Croatia,DF,26-119,1. Ajax,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Joško Gvardiol,Croatia,DF,24-155,1. Manchester City,2002,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Luka Modrić,Croatia,MF,40-291,1. Milan,1985,2,2,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Luka Sučić,Croatia,"FW,MF",23-292,1. Real Sociedad,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Luka Vušković,Croatia,DF,19-123,1. Hamburger SV,2007,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Marco Pašalić,Croatia,MF,25-286,1. Orlando City,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Marin Pongračić,Croatia,DF,28-289,1. Fiorentina,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Mario Pašalić,Croatia,MF,31-138,1. Atalanta,1995,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Martin Baturina,Croatia,"MF,FW",23-131,1. Como,2003,2,2,167,1.9,1,0,1,1,0,0,0,0,0.54,0.0,0.54,0.54,0.54
INT-World Cup,2026,Croatia,Mateo Kovačić,Croatia,MF,32-052,1. Manchester City,1994,2,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Nikola Vlašić,Croatia,"FW,MF",28-266,1. Torino,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Petar Musa,Croatia,FW,28-115,1. FC Dallas,1998,2,2,110,1.2,1,0,1,1,0,0,0,0,0.82,0.0,0.82,0.82,0.82
INT-World Cup,2026,Croatia,Petar Sučić,Croatia,FW,22-245,1. Inter,2003,2,1,109,1.2,0,1,1,0,0,0,1,0,0.0,0.83,0.83,0.0,0.83
INT-World Cup,2026,Curaçao,Armando Obispo,Curaçao,DF,27-114,1. PSV,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Brandley Kuwas,Curaçao,"FW,MF",33-281,1. Volendam,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Deveron Fonville,Curaçao,DF,23-042,1. NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Eloy Room,Curaçao,GK,37-141,2. Miami FC,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Gervane Kastaneer,Curaçao,"FW,MF",30-018,1. Terengganu City FC,1996,3,0,30,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Godfried Roemeratoe,Curaçao,MF,26-312,2. RKC Waalwijk,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jearl Margaritha,Curaçao,"FW,MF",26-078,2. Beveren,2000,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jeremy Antonisse,Curaçao,"FW,MF",24-090,1. AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Joshua Brenet,Curaçao,DF,32-099,1. Kayserispor,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Juninho Bacuna,Curaçao,MF,28-324,1. Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Juriën Gaari,Curaçao,DF,32-186,2. Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jürgen Locadia,Curaçao,FW,32-232,2. Miami FC,1993,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Kenji Gorré,Curaçao,"FW,MF",31-271,1. Maccabi Haifa,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Leandro Bacuna,Curaçao,MF,34-310,2. 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Livano Comenencia,Curaçao,MF,22-144,1. Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,0.39,0.39
INT-World Cup,2026,Curaçao,Riechedly Bazoer,Curaçao,DF,29-258,1. Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Roshon van Eijma,Curaçao,DF,28-018,2. RKC Waalwijk,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Sherel Floranus,Curaçao,DF,27-308,1. Zwolle,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Shurandy Sambo,Curaçao,DF,24-312,1. Sparta R.,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Sontje Hansen,Curaçao,FW,24-040,2. Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Tahith Chong,Curaçao,MF,26-205,2. Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Tyrese Noslin,Curaçao,MF,23-289,1. Telstar,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Adam Hložek,Czechia,FW,23-337,1. Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Alexandr Sojka,Czechia,"MF,DF",23-086,1. Viktoria Plzeň,2003,3,2,141,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64
INT-World Cup,2026,Czechia,David Douděra,Czechia,MF,28-027,1. Slavia Prague,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,David Zima,Czechia,DF,25-231,1. Slavia Prague,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Denis Višinský,Czechia,FW,23-098,1. Viktoria Plzeň,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Jaroslav Zelený,Czechia,MF,33-311,1. Sparta Prague,1992,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Ladislav Krejčí,Czechia,DF,27-068,1. Wolves,1999,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33
INT-World Cup,2026,Czechia,Lukáš Provod,Czechia,FW,29-247,1. Slavia Prague,1996,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Lukáš Červ,Czechia,MF,25-078,1. Viktoria Plzeň,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Matej Kovar,Czechia,GK,26-041,1. PSV,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Michal Sadílek,Czechia,MF,27-027,1. Slavia Prague,1999,3,2,183,2.0,1,0,1,1,0,0,0,0,0.49,0.0,0.49,0.49,0.49
INT-World Cup,2026,Czechia,Mojmír Chytil,Czechia,FW,27-059,1. Slavia Prague,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Patrik Schick,Czechia,FW,30-154,1. Leverkusen,1996,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Pavel Šulc,Czechia,FW,25-180,1. Lyon,2000,3,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Robin Hranáč,Czechia,DF,26-149,1. Hoffenheim,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Chorý,Czechia,FW,31-152,1. Slavia Prague,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Holeš,Czechia,DF,33-088,1. Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Tomáš Souček,Czechia,MF,31-120,1. West Ham,1995,3,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Vladimír Coufal,Czechia,"MF,DF",33-309,1. Hoffenheim,1992,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Czechia,Vladimír Darida,Czechia,MF,35-323,1. Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Czechia,Štěpán Chaloupek,Czechia,DF,23-111,1. Slavia Prague,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Amad Diallo,Côte d'Ivoire,"MF,FW",23-351,1. Manchester Utd,2002,3,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58
INT-World Cup,2026,Côte d'Ivoire,Ange-Yoan Bonny,Côte d'Ivoire,FW,22-245,1. Inter,2003,3,2,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Bazoumana Touré,Côte d'Ivoire,MF,20-117,1. Hoffenheim,2006,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Christ Inao Oulaï,Côte d'Ivoire,MF,20-082,1. Trabzonspor,2006,3,1,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Christopher Opéri,Côte d'Ivoire,DF,29-059,1. Başakşehir,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Elye Wahi,Côte d'Ivoire,FW,23-176,1. Nice,2003,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Emmanuel Agbadou,Côte d'Ivoire,DF,29-010,1. Beşiktaş,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
