gameId,date,team,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,possessionPct,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
760483,2026-06-28,Jordan,13,3,0,1,2,1,26.7,5,1,0.2,0,0,228,285,0.8,2,7,0.3,36,14,0.4,2,8,16,0.5,19,13,13
760483,2026-06-28,Argentina,7,0,0,3,6,0,73.3,12,4,0.3,0,1,737,801,0.9,3,5,0.6,25,15,0.6,1,5,14,0.4,12,9,9
760486,2026-06-28,South Africa,10,0,0,1,1,5,58.4,6,1,0.2,0,0,466,554,0.8,2,7,0.3,72,31,0.4,1,13,22,0.6,15,33,33
760486,2026-06-28,Canada,16,2,0,0,4,1,41.6,12,7,0.6,0,0,298,379,0.8,5,13,0.4,31,15,0.5,0,15,20,0.8,8,16,16
760487,2026-06-29,Brazil,4,2,0,1,6,1,68.6,19,7,0.4,0,0,625,682,0.9,10,39,0.3,45,21,0.5,6,7,12,0.6,9,19,19
760487,2026-06-29,Japan,13,3,0,0,2,4,31.4,5,2,0.4,0,0,260,313,0.8,2,11,0.2,45,24,0.5,2,4,10,0.4,6,45,45
760489,2026-06-29,Germany,18,2,0,4,16,2,75.6,21,6,0.3,0,0,725,805,0.9,9,55,0.2,40,27,0.7,8,7,13,0.5,4,23,23
760489,2026-06-29,Paraguay,12,2,0,1,6,6,24.4,7,3,0.4,0,0,160,255,0.6,6,21,0.3,78,20,0.3,2,20,33,0.6,13,55,55
760488,2026-06-30,Netherlands,18,0,0,3,5,5,29.9,6,2,0.3,0,0,292,371,0.8,3,10,0.3,47,16,0.3,3,10,19,0.5,11,22,22
760488,2026-06-30,Morocco,15,1,0,0,8,1,70.1,11,5,0.5,0,0,801,879,0.9,4,18,0.2,48,21,0.4,2,14,19,0.7,11,34,34
